,店舗名,店舗名カナ,郵便番号,住所,電話番号,FAX番号,e-mailアドレス,ホームページアドレス,最寄りの交通機関,営業時間,定休日,業種,店舗緯度,店舗経度,おむつ替え設備,授乳の場,子供用補助便座,妊婦用駐車場,障害者用駐車場,ミルクのお湯を提供,こどもと遊べる場,ベビーカー,利用可能時間
264,第一生命　さぬき中央営業オフィス,だいいちせいめい　さぬきちゅうおうえいぎょうおふぃす,769-2101,香川県さぬき市志度633-1　白凰ビル2F,050-3782-6556,087-894-2725,,,JR高徳線　志度駅,9時 ～ 17時,土・日・祝日、年末年始、夏期休暇,金融,34.321178,134.174807,　,　,○,○,　,　,　,　,10時 ～ 17時
265,第一生命　新高松営業オフィス,だいいちせいめい　しんたかまつえいぎょうおふぃす,760-0078,香川県高松市今里町2-23-11,050-3782-6552,087-863-1701,,,琴平電気鉄道琴平線　栗林公園,9時 ～ 17時,土・日・祝日、年末年始、夏期休暇,金融,34.323615,134.055856,　,○,○,○,　,　,　,　,10時30分 ～ 17時
266,第一生命　善通寺営業オフィス,だいいちせいめい　ぜんつうじえいぎょうおふぃす,765-0011,香川県善通寺市上吉田町3-9-19,050-3782-6564,0877-62-2712,,,JR土讃線　善通寺駅,9時 ～ 17時,土・日・祝日、年末年始、夏期休暇,金融,34.228979,133.78266,○,○,○,　,　,　,　,　,10時 ～ 17時
267,第一生命　高松職域営業オフィス,だいいちせいめい　たかまつしょくえきえいぎょうおふぃす,760-0020,香川県高松市錦町1-14-22 錦町分室３F,050-3782-6574,087-821-8325,,,JR高松駅,9時～17時,土・日・祝日、年末年始、夏期休暇,金融,34.346494,134.044702,○,○,,,,,,,10時～17時
268,第一生命　玉藻営業オフィス,だいいちせいめい　たまもえいぎょうおふぃす,760-0020,香川県高松市錦町1-14-22　錦町分室　2F,050-3782-6560,087-821-2242,,,JR高松駅,9時～17時,土・日・祝日、年末年始、夏期休暇,金融,34.346494,134.044702,○,○,,,,,,,10時～17時
269,第一生命　丸亀営業オフィス,だいいちせいめい　まるがめえいぎょうおふぃす,763-0012,香川県丸亀市土居町2-2-16,050-3782-6568,0877-22-2202,,,丸亀コミュニティバス　城東町　停留所,9時 ～ 17時,土・日・祝日、年末年始、夏期休暇,金融,34.290072,133.805885,　,　,○,○,　,　,　,　,10時 ～ 17時
270,第一生命 三豊中央営業オフィス,だいいちせいめい　みとよちゅうおうえいぎょうおふぃす,768-0022,香川県観音寺市本大町1735　合田不動産本大ビル　２F,050-3782-6572,0875-25-2412,,,JR予讃線　本山駅,9時～17時,土・日・祝日、年末年始、夏期休暇,金融,34.135357,133.690809,○,○,○,○,,,,,10時～17時
271,第一生命　屋島営業オフィス,だいいちせいめい　やしまえいぎょうおふぃす,761-0104,香川県高松市高松町角屋2412-11,050-3782-6558,087-841-7412,,,琴平電気鉄道志度線　古高松駅,9時 ～ 17時,土・日・祝日、年末年始、夏期休暇,金融,34.338089,134.107538,　,　,○,○,　,　,　,　,10時 ～ 17時
272,千代橋堂,ちよばしどう,760-0068,香川県高松市松島町3丁目29-5,087-861-8040,,,,,時 ～ 時、時 ～ 時、時 ～ 時,不定休,,34.336903,134.067156,○,　,○,○,　,　,　,　,9時30分～15時30分
273,佃煮販売処　京宝亭,つくだにはんばいどころ　きょうほうてい,761-4421,香川県小豆郡小豆島町苗羽2211番地28,0879-82-1441,,,http://www.kyohotei.co.jp,,時 ～ 時、時 ～ 時、時 ～ 時,12月27日～12月30日,,34.464725,134.318449,○,　,　,○,　,　,　,　,8時30分～17時
274,つくだに屋さん,つくだにやさん,761-4431,香川県小豆郡小豆島町片城甲44-270,0879-82-6066,,,http://www.tsukudaniyasan.com,,9時～17時,年中無休,,34.478915,134.310208,○,　,○,○,　,　,　,　,9時～17時
275,津田の松原サービスエリア　下り線,つだのまつばらさーびすえりあ　くだりせん,769-2402,香川県さぬき市津田町鶴羽939番地１,0879-42-0880,,,http://www.anabuki-enter.jp/,,7時～22時　休息コーナーは24時間,なし,,34.275427,134.26469,○,○,○,○,　,　,　,　,7時～22時　休息コーナーは24時間
276,津田の松原サービスエリア　上り線,つだのまつばらさーびすえりあ　のぼりせん,769-2402,香川県さぬき市津田町鶴羽935番地5,0879-42-1777,,,http://www.anabuki-enter.jp/,,7時～22時　休息コーナーは24時間,なし,,34.276807,134.264258,○,○,○,　,　,　,　,　,7時～22時　休息コーナーは24時間
277,つどいの広場サニーハウス,つどいのひろばさにーはうす,769-1502,香川県三豊市豊中町笠田笠岡2536-1,0875-24-8690,,npo_friends@yahoo.co.jp,http://hikatan5029.ashita-sanuki.jp/,,9時30分 ～ 14時,土・日曜,見る・遊ぶ,34.15979,133.70196,○,○,○,　,　,○,　,　,9時30分～14時
278,つどいの広場すくすくランド,つどいのひろばすくすくらんど,769-1101,香川県三豊市詫間町詫間1338-13三豊市役所詫間支所内南庁舎2階,0875-83-7739,,,http://www.npo-sukusuku.com,,9時30分～15時30分,土曜日・日曜日・祝日・年末年始・お盆・GW,,34.220896,133.673372,○,○,○,○,　,　,　,　,9時30分～15時30分
279,地域子育て支援拠点事業つどいの広場「ひまわりはうすとことこ」,つどいのひろばひまわりはうすとことこ,761-8077,香川県高松市出作町382-1酒井ハイツ110.108,087-816-7700,,,http://himawarinet.c.ooco.jp/,,9時30分～15時30分（土曜日9時30分～14時30分）,第3火曜日・日曜日・祝日,,34.284236,134.048338,○,○,○,　,　,　,　,　,平日9時30分～15時30分　（第3土曜日10時30分～15時30分）
280,翼山温泉,つばさやまおんせん,769-2901,香川県東かがわ市引田991番地,0879-33-2505,,,http://www.higashikagawa.jp/life/institution/welfare.html#01,,10時～21時,火曜日・年末年始,,34.21708,134.393896,○,　,○,○,　,　,　,　,10時～21時
281,天然いやだに温泉　　大師の湯　ふれあいパークみの,てんねんいやだにおんせん　だいしのゆ　ふれあいぱーくみの,767-0031,香川県三豊市三野町大見乙74,0875-72-2601,0875-72-2600,iyadani@sun-age.or.jp,http://iyadani.sun-age.or.jp/,,10時 ～ 23時30分,毎月第2水曜日(8月、12月は無休),"食べる, 旅行・宿泊, 温泉・銭湯",34.226348,133.722855,○,○,○,　,○,○,　,　,10時～23時30分
282,TOTO 高松ショールーム,とうとう　たかまつしょーるーむ,761-0301,香川県高松市林町2547-3,087-868-6820,087-865-9977,,https://showroom.toto.jp/showroom.aspx?sr=105,高松道・高松中央I.Cより車で5分,10時 ～ 17時,毎週水曜日（但し、祝日の水曜日は開館）、夏期休暇、年末年始,住まい,34.305347,134.063794,○,○,○,　,　,　,○,○,10時 ～ 17時
283,特別名勝　栗林公園,とくべつめいしょう　りつりんこうえん,760-0073,香川県高松市栗林町1丁目20-16,087-833-7411,087-833-7420,ritsuringarden@pref.kagawa.lg.jp,http://ritsuringarden.jp/,JR高徳線栗林公園北口駅徒歩3分、ことでん栗林公園駅徒歩10分,日の出～日没,無休,"見る・遊ぶ, 旅行・宿泊",34.330481,134.044427,○,○,　,　,○,○,　,○,7時～17時（季節により変動あり）
284,土庄町立中央公民館,とのしょうちょうりつちゅうおうこうみんかん,761-4192,香川県小豆郡土庄町甲559番地2,0879-62-7014,,,http://www.town.tonosho.kagawa.jp,,8時30分～21時,土曜日・日曜日・祭日,,34.486137,134.184401,○,　,　,○,　,　,　,　,8時30分～21時
285,トヨタカローラ香川株式会社　観音寺店,とよたかろーらかがわ　かんおんじてん,768-0011,香川県観音寺市出作町字大道上350,0875-25-1760,,,http://orangetoyota.jp/,,10時～18時,水曜日・年末年始,,34.118571,133.676115,○,　,　,○,　,　,　,　,10時～18時
286,トヨタカローラ香川株式会社　木太店,とよたかろーらかがわ　きたてん,760-0080,香川県高松市木太町1983-1-1,087-862-1937,,,http://orangetoyota.jp/,,10時～18時,水曜日・年末年始,,34.328614,134.06887,○,　,　,○,　,　,　,　,10時～18時
287,トヨタカローラ香川株式会社　空港通り店,とよたかろーらかがわ　くうこうどおりてん,761-8083,香川県高松市三名町567-1,087-886-0777,,,http://orangetoyota.jp/,,10時～18時,水曜日・年末年始,,34.292001,134.032694,○,　,　,○,　,　,　,　,10時～18時
288,トヨタカローラ香川株式会社　国分寺店,とよたかろーらかがわ　こくぶんじてん,769-0101,香川県高松市国分寺町新居字小掛90-1,087-875-1555,,,http://orangetoyota.jp/,,10時～18時,水曜日・年末年始,,34.305428,133.977729,○,　,　,○,　,　,　,　,10時～18時
289,トヨタカローラ香川株式会社　本社鬼無店,とよたかろーらかがわ　ほんしゃきなしてん,761-8021,香川県高松市鬼無町是竹94,087-881-4411,,,http://orangetoyota.jp/,,10時～18時,水曜日・年末年始,,34.337838,133.996538,○,　,　,○,　,　,　,　,10時～18時
290,トヨタカローラ香川株式会社　綾南店,とよたかろーらかがわ　りょうなんてん,761-2103,香川県綾歌郡綾川町陶2501-1,087-876-4131,,,http://orangetoyota.jp/,,10時～18時,水曜日・年末年始,,34.256102,133.95353,○,　,　,○,　,　,　,　,10時～18時
291,豊浜サービスエリア　下り線,とよはまさーびすえりあくだりせん,769-1604,香川県観音寺市豊浜町箕浦字尾崎甲1842-2,-,,,http://www.w-nexco.co.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.053565,133.634715,○,　,○,○,　,　,　,　,24時間（清掃時除く）
292,豊浜サービスエリア　上り線,とよはまさーびすえりあのぼりせん,769-1604,香川県観音寺市豊浜町箕浦字東原甲2180-1,-,,,http://www.w-nexco.co.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.057351,133.63699,○,　,○,○,　,　,　,　,24時間（清掃時除く）
293,トラベルビジョン本社,とらべるびじょん,760-0078,香川県高松市今里町1丁目32番地1,087-835-3519,,,,,10時～19時,不定休,,34.325062,134.056208,○,　,○,　,　,　,　,　,10時～19時
294,とらまる人形劇ミュージアム,とらまるにんぎょうげきみゅーじあむ,769-2604,香川県東かがわ市西村1155番地,0879-25-0055,,,http://www.toramaru.jp/museum/index.html,,10時～16時,月曜日（月曜日が祝日の場合は翌日）、年末年始,,34.239972,134.314883,○,　,○,○,　,　,　,　,10時～16時
295,Ｄｒ．Ｄｒｉｖｅ　エスパル春日川店,どくたーどらいぶ　えすぱるかすががわてん,761-0101,香川県高松市春日町片田1641,087-841-4311,087-841-8878,kasugagawa@shinohara-shoji.co.jp,,,平日：7時30分 ～ 22時、日・祝日：8時 ～ 21時,1月1日・2日,"買う, 車・自転車, その他",34.338986,134.089468,○,　,○,　,　,　,○,　,平日：7時30分 ～ 22時、日・祝日：8時 ～ 21時
296,ドコモショップ木太店,どこもしょっぷきたてん,760-0080,香川県高松市木太町2区1135-2,0120-868-538,,,,,10時～19時,無休,,34.321664,134.067179,○,　,○,　,　,　,　,　,10時～19時
297,直島町総合福祉センター,なおしまちょうそうごうふくしせんたー,761-3110,香川県香川郡直島町3694番地1,087-892-2458,,,http://www.town.naoshima.lg.jp/(直島町HP),,時 ～ 時、時 ～ 時、時 ～ 時,月曜日・火曜日（7月～9月の火曜日は営業）,,34.457256,133.978796,○,　,　,○,　,　,　,　,"4月～9月　10時～19時　,10月～3月　10時～18時　"
298,ナカノヤ琴平・中野うどん学校,なかのやことひら　なかのうどんがっこう,766-0001,香川県仲多度郡琴平町796番地,0877-75-0001,,,http://www.nakanoya.net,,8時30分～17時,無休,,34.186909,133.818443,○,○,　,　,　,　,　,　,8時30分～17時
299,にしおか医院地域子育て支援センター,にしおかいいんちいきこそだてしえんせんたー,761-8085,香川県高松市寺井町1385-10,087-885-8740,,,http://www.jinsenkai.jp,,,土曜日・日曜日,,34.282016,134.02352,○,○,○,　,　,　,　,　,9時～17時
300,西村公民館,にしむらこうみんかん,761-4434,香川県小豆郡小豆島町西村甲1069-1,0879-82-0201,,,,,8時30分～22時,日曜日・祝日・年末年始,,34.473151,134.283644,○,○,○,　,　,　,　,　,8時30分～22時
301,日産プリンス香川販売株式会社さぬき豊中店,にっさんぷりんすかがわはんばいさぬきとよなかてん,769-1502,香川県三豊市豊中町笠田笠岡2308,0875-62-3232,,,http://www.prince-kagawa.co.jp/,,8時～20時,水曜日,,34.160309,133.70779,○,　,　,○,　,　,　,　,8時～20時
302,日産プリンス香川販売株式会社善通寺店,にっさんぷりんすかがわはんばいぜんつうじてん,765-0022,香川県善通寺市稲木町1289,0877-62-1212,,,http://www.prince-kagawa.co.jp/,,8時～20時,水曜日,,34.248019,133.772459,○,　,　,○,　,　,　,　,8時～20時
303,日産プリンス香川販売株式会社高松南店,にっさんぷりんすかがわはんばいたかまつみなみてん,761-8043,香川県高松市中間町25-1,087-885-3223,,,http://www.prince-kagawa.co.jp/,,8時～20時,水曜日,,34.285365,134.000111,○,　,　,○,　,　,　,　,8時～20時
304,日産プリンス香川販売株式会社丸亀店,にっさんぷりんすかがわはんばいまるがめてん,763-0082,香川県丸亀市土器町東6丁目138,0877-23-2332,,,http://www.prince-kagawa.co.jp/,,8時～20時,水曜日,,34.300402,133.812628,○,　,　,○,　,　,　,　,8時～20時
305,二生公民館,にぶこうみんかん,761-4305,香川県小豆郡小豆島町二面,0879-75-2167,,,,,8時30分～22時,日曜日・祝日・年末年始,,34.461216,134.242909,○,○,　,　,　,　,　,　,8時30分～22時
306,丹生公民館,にぶこうみんかん,769-2516,香川県東かがわ市土居82番地1,0879-24-0330,,,http://www.higashikagawa.jp/life/institution/community.html,,9時～21時30分,木曜日・年末年始,,34.253395,134.299962,○,　,○,○,　,　,　,　,9時～21時30分
307,ネオオリエンタルリゾート小豆島,ねおおりえんたるりぞーとしょうどしま,761-4422,香川県小豆郡小豆島町古江乙16-3,0879-82-5000,,,http://nor-shodoshima.jp/,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.461906,134.316324,○,　,　,○,　,　,　,　,終日
308,ネッツトヨタ香川株式会社空港通り店,ねっつとよたかがわかぶしきがいしゃくうこうどおりてん,761-8082,香川県高松市鹿角町21-3,087-886-5001,,,http://www.knetz.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,不定休（主に第1月曜日、第3月曜日）,,34.296251,134.033821,○,　,○,○,　,　,　,　,10時～18時
309,ネッツトヨタ香川株式会社坂出店,ねっつとよたかがわかぶしきがいしゃさかいでてん,762-0055,香川県坂出市築港町1丁目1-5,0877-45-6211,,,http://www.knetz.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,不定休（主に第1月曜日・第3月曜日）,,34.322727,133.848186,○,　,○,○,　,　,　,　,10時～18時
310,ネッツトヨタ香川株式会社たかまつ中央店,ねっつとよたかがわかぶしきがいしゃたかまつちゅうおうてん,761-8071,香川県高松市伏石町2134-7,087-866-5011,,,http://www.knetz.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,不定休（主に第1月曜日、第3月曜日）,,34.307944,134.058786,○,　,○,○,　,　,　,　,10時～18時
311,ネッツトヨタ香川株式会社東かがわ店,ねっつとよたかがわかぶしきがいしゃひがしかがわてん,769-2512,香川県東かがわ市落合123-1,0879-25-3311,,,http://www.knetz.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,不定休（主に第1月曜日、第3月曜日）,,34.251881,134.309334,○,　,○,○,　,　,　,　,10時～18時
312,ネッツトヨタ香川株式会社本店,ねっつとよたかがわかぶしきがいしゃほんてん,760-0080,香川県高松市木太町2681-5,087-861-1111,,,http://www.knetz.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,不定休（主に第1月曜日、第3月曜日）,,34.339883,134.080563,○,　,○,○,　,　,　,　,10時～18時
313,ネッツトヨタ香川株式会社まるがめ田村店,ねっつとよたかがわかぶしきがいしゃまるがめたむらてん,763-0071,香川県丸亀市田村町750,0877-21-0811,,,http://www.knetz.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,不定休（主に第1月曜日、第3月曜日）,,34.265834,133.797106,○,　,○,○,　,　,　,　,10時～18時
314,ネッツトヨタ香川株式会社まるがめ土器店,ねっつとよたかがわかぶしきがいしゃまるがめどきてん,763-0082,香川県丸亀市土器町東6丁目40番地,0877-23-3811,,,http://www.knetz.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,不定休（主に第1月曜日、第3月曜日）,,34.303061,133.815315,○,　,○,○,　,　,　,　,10時～18時
315,ネッツトヨタ香川株式会社屋島店,ねっつとよたかがわかぶしきがいしゃやしまてん,761-0104,香川県高松市高松町3008-22,087-843-4801,,,http://www.knetz.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,不定休（主に第1月曜日、第3月曜日）,,34.339463,134.109177,○,　,○,○,　,　,　,　,10時～18時
316,ネッツトヨタ高松株式会社オリーブ店,ねっつとよたたかまつ　おりーぶてん,761-0101,香川県高松市春日町1684-10,0120-361771,,,https://www.happynetz.co.jp/pc/index.php,,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分,年中無休（ゴールデンウィーク・盆・正月連休有り）,,34.339672,134.092351,○,　,　,○,　,　,　,　,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分
317,ネッツトヨタ高松株式会社さつき店,ねっつとよたたかまつ　さつきてん,769-2512,香川県東かがわ市落合248-1,0120-401771,,,https://www.happynetz.co.jp/pc/index.php,,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分,毎週水曜日,,34.251243,134.314427,○,　,○,　,　,　,　,　,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分
318,ネッツトヨタ高松株式会社フラワー店,ねっつとよたたかまつ　ふらわーてん,761-8083,香川県高松市三名町149-1,0120-129393,,,https://www.happynetz.co.jp/pc/index.php,,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分,年中無休（ゴールデンウィーク・盆・正月連休有り）,,34.289626,134.033183,○,　,○,　,　,　,　,　,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分
319,ネッツトヨタ高松株式会社まつの木店,ねっつとよたたかまつ　まつのきてん,768-0021,香川県観音寺市吉岡町223,0120-481771,,,https://www.happynetz.co.jp/pc/index.php,,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分,年中無休（ゴールデンウィーク・盆・正月連休有り）,,34.127128,133.688651,○,　,○,○,　,　,　,　,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分
320,ネッツトヨタ高松株式会社マロニエ店,ねっつとよたたかまつ　まろにえてん,761-0313,香川県高松市下田井町355-1,0800-700-1771,,,https://www.happynetz.co.jp/pc/index.php,,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分,年中無休（ゴールデンウィーク・盆・正月連休有り）,,34.293232,134.089086,○,　,○,○,　,　,　,　,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分
321,ネッツトヨタ高松株式会社もみの木店,ねっつとよたたかまつ　もみのきてん,769-0213,香川県綾歌郡宇多津町東分1547-1,0877-49-5411,,,https://www.happynetz.co.jp/pc/index.php,,時 ～ 時、時 ～ 時、時 ～ 時,年中無休（年末年始連休あり）,,34.293567,133.83571,○,　,○,○,　,　,　,　,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分
322,ネッツトヨタ高松株式会社やしの木店,ねっつとよたたかまつ　やしのきてん,761-8014,香川県高松市香西南町404-1,0120-341771,,,https://www.happynetz.co.jp/pc/index.php,,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分,年中無休（365日オープン）,,34.341737,134.003216,○,　,○,○,　,　,　,　,平日・祝日10時～18時30分、土曜日・日曜日9時～17時30分
323,農村環境改善センター,のうそんかんきょうかいぜんせんたー,761-4301,香川県小豆郡小豆島町池田2124,0879-75-0600,,,,,8時30分～22時,日曜日・祝日・年末年始,,34.483823,134.234382,○,○,　,　,　,　,　,　,8時30分～22時
324,萩ガーデンテラス,はぎがーでんてらす,769-1621,香川県観音寺市大野原町井関乙2-3,0875-54-5236,,,http://ameblo.jp/formaggi,,時 ～ 時、時 ～ 時、時 ～ 時,水曜日,,34.06531,133.691105,　,○,○,　,　,　,　,　,（平日）11時～15時　（土曜日・日曜日・祝日）11時～17時
325,働く婦人の家,はたらくふじんのいえ,761-4421,香川県小豆郡小豆島町苗羽甲2276,0879-82-0410,,,,,8時30分～22時,日曜日・祝日・年末年始,,34.469538,134.316744,○,　,○,　,　,　,　,　,8時30分～22時
326,バースデイ高松レインボー店,ばーすでいたかまつれいんぼーてん,761-8076,香川県高松市多肥上町宮尻1432-1,087-864-6201,,,http://www.shimamura.gr.jp/birthday/,,10時～19時,年中無休,,34.293703,134.057472,○,○,　,　,　,　,　,　,10時～19時
327,バースデイ丸亀店,ばーすでいまるがめてん,763-0082,香川県丸亀市土器町東8-36,0877-58-1770,,,http://www.shimamura.gr.jp/birthday/,,10時～19時,年中無休,,34.296367,133.808101,○,○,　,　,　,　,　,　,10時～19時
328,パワーホーム香川株式会社,ぱわーほーむかがわかぶしきがいしゃ,761-8076,香川県高松市多肥上町1292-1,087-864-6670,087-864-6671,power-home-kagawa@nice.co.jp,https://www.powerhome.jp/kagawa/,高松琴平電気鉄道琴平線　太田駅　徒歩18分,10時 ～ 18時,水曜日,住まい,34.295223,134.057556,○,○,　,　,　,○,○,　,10時 ～ 18時
329,東かがわ市温水プール,ひがしかがわしおんすいぷーる,769-2901,香川県東かがわ市引田991番地13,0879-33-7163,,,http://www.higashikagawa.jp/life/institution/sports.html#02,,平日10時～20時、日曜日・祝日10時～18時,火曜日・年末年始,,34.21763,134.393746,○,　,　,○,　,　,　,　,平日10時～20時、日曜日・祝日10時～18時
330,東かがわ市引田支所,ひがしかがわしひけたししょ,769-2992,香川県東かがわ市引田513番地1,0879-33-2500,,,http://www.higashikagawa.jp/,,8時30分～17時15分,土曜日・日曜日・祝日・年末年始,,34.224242,134.404452,○,　,○,○,　,　,　,　,8時30分～17時15分
331,東かがわ市本庁舎,ひがしかがわしほんちょうしゃ,769-2792,香川県東かがわ市湊1847番地1,0879-26-1111,,,http://www.higashikagawa.jp/,,8時30分～17時15分,土曜日・日曜日・祝日・年末年始,,34.243803,134.358837,○,　,○,○,　,　,　,　,8時30分～17時15分
332,東かがわ市誉水公民館,ひがしかがわしよみずこうみんかん,769-2605,香川県東かがわ市中筋469番地,0879-25-2142,,,http://www.higashikagawa.jp/life/institution/community.html,,9時～21時30分,火曜日・年末年始,,34.242113,134.322086,○,　,○,○,　,　,　,　,9時～21時30分
333,東かがわ市歴史民俗資料館,ひがしかがわしれきしみんぞくしりょうかん,769-2901,香川県東かがわ市引田1000番地4,0879-33-2030,,,http://www.higashikagawa.jp/life/institution/culture.html#01,,9時～17時,火曜日（祝日にあたる時はその翌日）年末年始,,34.21848,134.394281,○,　,○,○,　,　,　,　,9時～17時
334,百十四銀行　一宮出張所,ひゃくじゅうしぎんこういちのみやしゅっちょうしょ,761-8085,香川県高松市寺井町1217-2,087-886-6114,,,http://www.114bank.co.jp/,,9時～15時,土・日・祝,金融,34.279247,134.023128,○,　,○,○,　,　,　,　,9時～15時
335,百十四銀行　川島支店,ひゃくじゅうしぎんこうかわしましてん,761-0442,香川県高松市川島本町167－1,087-848-1141,,,http://www.114bank.co.jp/,,9時～15時,土・日・祝,金融,34.275646,134.086164,○,　,○,○,　,　,　,　,9時～15時
336,百十四銀行　坂出東部支店,ひゃくじゅうしぎんこうさかいでとうぶしてん,762-0001,香川県坂出市京町2-4-45,0877-46-0114,0877-46-6892,,http://www.114bank.co.jp/,JR坂出駅,9時～15時,土・日・祝,金融,34.316214,133.858233,○,　,○,○,○,　,　,　,9時 ～ 15時
337,百十四銀行　須田出張所,ひゃくじゅうしぎんこうすだしゅっちょうしょ,769-1101,香川県三豊市詫間町詫間5501番地4,0875-83-4114,,,http://www.114bank.co.jp/,,9時～15時,土・日・祝,金融,34.232476,133.654384,○,　,○,○,　,　,　,　,9時～15時
338,ビューティーハウスにしぐち,びゅーてぃーはうすにしぐち,761-4121,香川県小豆郡土庄町渕崎甲2017,0879-62-0549,,,http://www11.ocn.ne.jp/~nisiguti/,,8時～19時,日曜日,,34.493751,134.172667,　,○,○,　,　,　,　,　,8時～19時
339,ファミリーマート　宇多津浜店,ふぁみりーまーと　うたづはまてん,769-0202,香川県綾歌郡宇多津町浜二番丁15-12,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.306099,133.809395,　,　,○,○,　,　,　,　,24時間営業
340,ファミリーマート　宇多津浜八番丁店,ふぁみりーまーと　うたづはまはちばんちょうてん,769-0208,香川県綾歌郡宇多津町浜八番丁131-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.309756,133.821913,　,　,○,○,　,　,　,　,24時間営業
341,ファミリーマート　観音寺植田店,ふぁみりーまーと　かんおんじうえたてん,768-0012,香川県観音寺市植田町397-5,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.126436,133.676252,　,　,○,○,　,　,　,　,24時間営業
342,ファミリーマート　観音寺中田井店,ふぁみりーまーと　かんおんじなかたいてん,768-0024,香川県観音寺市中田井町690-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.123075,133.703569,　,　,○,○,　,　,　,　,24時間営業
343,ファミリーマート　観音寺流岡店,ふぁみりーまーと　かんおんじながれおかてん,768-0014,香川県観音寺市流岡町1269-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.140642,133.676096,　,　,○,○,　,　,　,　,24時間営業
344,ファミリーマート　香南町岡店,ふぁみりーまーと　こうなんちょうおかてん,761-1401,香川県高松市香南町岡351-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.229255,134.028197,　,　,○,○,　,　,　,　,24時間営業
345,ファミリーマート　香南町店,ふぁみりーまーと　こうなんちょうてん,761-1402,香川県高松市香南町由佐805-2,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.238856,134.017562,　,　,○,○,　,　,　,　,24時間営業
346,ファミリーマート　国分寺新居店,ふぁみりーまーと　こくぶんじにいてん,769-0101,香川県高松市国分寺町新居406-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.302582,133.969148,　,　,○,○,　,　,　,　,24時間営業
347,ファミリーマート　国分寺福家店,ふぁみりーまーと　こくぶんじふけてん,769-0103,香川県高松市国分寺町福家2937-1,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.281704,133.964011,　,　,○,○,　,　,　,　,24時間営業
348,ファミリーマート　坂出加茂町店,ふぁみりーまーと　さかいでかもちょうてん,762-0023,香川県坂出市加茂町620-4,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.308577,133.909104,　,　,○,○,　,　,　,　,24時間営業
349,ファミリーマート　坂出川津町店,ふぁみりーまーと　さかいでかわつちょうてん,762-0025,香川県坂出市川津町2809-5,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.287798,133.854034,　,　,○,○,　,　,　,　,24時間営業
350,ファミリーマート　坂出工業団地店,ふぁみりーまーと　さかいでこうぎょうだんちてん,762-0012,香川県坂出市林田町3514-59,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.339169,133.882985,　,　,○,○,　,　,　,　,24時間営業
351,ファミリーマート　坂出昭和町店,ふぁみりーまーと　さかいでしょうわちょうてん,762-0004,香川県坂出市昭和町1-2-27,-,,,http://www.family.co.jp/index.html,,時 ～ 時、時 ～ 時、時 ～ 時,なし,,34.319069,133.868568,　,　,○,○,　,　,　,　,24時間営業
